tweet_id,timestamp,retweeted_status_id,rating_numerator,rating_denominator,name,dogtype,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,created_at,retweet_count,favorite_count,possibly_sensitive,lang
887517139158093824,2017-07-19 03:39:09 +0000,,14.0,10,such,undefined,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,limousine,0.130432,False,tow_truck,0.0291754,False,shopping_cart,0.0263208,False,2017-07-19 03:39:09+00:00,12082,46959,0.0,en
887473957103951883,2017-07-19 00:47:34 +0000,,13.0,10,Canela,undefined,https://pbs.twimg.com/media/DFDw2tyUQAAAFke.jpg,2,pembroke,0.809197,True,rhodesian_ridgeback,0.05495,True,beagle,0.0389148,True,2017-07-19 00:47:34+00:00,18781,69871,0.0,en
887343217045368832,2017-07-18 16:08:03 +0000,,13.0,10,None,undefined,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,mexican_hairless,0.330741,True,sea_lion,0.275645,False,weimaraner,0.134203,True,2017-07-18 16:08:03+00:00,10737,34222,0.0,en
887101392804085760,2017-07-18 00:07:08 +0000,,12.0,10,None,undefined,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,samoyed,0.733942,True,eskimo_dog,0.0350295,True,staffordshire_bullterrier,0.029704700000000007,True,2017-07-18 00:07:08+00:00,6167,31061,0.0,en
886983233522544640,2017-07-17 16:17:36 +0000,,13.0,10,Maya,undefined,https://pbs.twimg.com/media/DE8yicJW0AAAvBJ.jpg,2,chihuahua,0.793469,True,toy_terrier,0.143528,True,can_opener,0.0322529,False,2017-07-17 16:17:36+00:00,8084,35859,0.0,en
886736880519319552,2017-07-16 23:58:41 +0000,,13.0,10,Mingus,undefined,https://pbs.twimg.com/media/DE5Se8FXcAAJFx4.jpg,1,kuvasz,0.309706,True,great_pyrenees,0.186136,True,dandie_dinmont,0.08634630000000001,True,2017-07-16 23:58:41+00:00,3443,12306,0.0,en
886680336477933568,2017-07-16 20:14:00 +0000,,13.0,10,Derek,undefined,https://pbs.twimg.com/media/DE4fEDzWAAAyHMM.jpg,1,convertible,0.738995,False,sports_car,0.139952,False,car_wheel,0.0441727,False,2017-07-16 20:14:00+00:00,4610,22798,0.0,en
886366144734445568,2017-07-15 23:25:31 +0000,,12.0,10,Roscoe,pupper,https://pbs.twimg.com/media/DE0BTnQUwAApKEH.jpg,1,french_bulldog,0.999201,True,chihuahua,0.000361178,True,boston_bull,7.55616e-05,True,2017-07-15 23:25:31+00:00,3316,21524,0.0,en
886258384151887873,2017-07-15 16:17:19 +0000,,13.0,10,Waffles,undefined,https://pbs.twimg.com/media/DEyfTG4UMAE4aE9.jpg,1,pug,0.943575,True,shower_cap,0.0252856,False,siamese_cat,0.00284892,False,2017-07-15 16:17:19+00:00,6523,28469,0.0,en
885984800019947520,2017-07-14 22:10:11 +0000,,12.0,10,Jimbo,undefined,https://pbs.twimg.com/media/DEumeWWV0AA-Z61.jpg,1,blenheim_spaniel,0.972494,True,shih-tzu,0.00663012,True,bernese_mountain_dog,0.00623915,True,2017-07-14 22:10:11+00:00,7097,33382,0.0,en
885528943205470208,2017-07-13 15:58:47 +0000,,13.0,10,Maisey,undefined,https://pbs.twimg.com/media/DEoH3yvXgAAzQtS.jpg,1,pug,0.369275,True,labrador_retriever,0.265835,True,kuvasz,0.134697,True,2017-07-13 15:58:47+00:00,6683,36689,0.0,en
885311592912609280,2017-07-13 01:35:06 +0000,8.305833205850685e+17,13.0,10,Lilly,undefined,https://pbs.twimg.com/media/C4bTH6nWMAAX_bJ.jpg,1,labrador_retriever,0.908703,True,seat_belt,0.0570909,False,pug,0.0119335,True,2017-07-13 01:35:06+00:00,19297,0,0.0,en
885167619883638784,2017-07-12 16:03:00 +0000,,13.0,10,None,undefined,https://pbs.twimg.com/media/DEi_N9qXYAAgEEw.jpg,4,malamute,0.8124819999999999,True,siberian_husky,0.0717125,True,eskimo_dog,0.0557697,True,2017-07-12 16:03:00+00:00,4556,22367,0.0,en
884925521741709313,2017-07-12 00:01:00 +0000,,12.0,10,Earl,undefined,https://pbs.twimg.com/media/DEfjEaNXkAAtPlj.jpg,1,italian_greyhound,0.259916,True,american_staffordshire_terrier,0.198451,True,staffordshire_bullterrier,0.127725,True,2017-07-12 00:01:00+00:00,16439,68152,0.0,en
884876753390489601,2017-07-11 20:47:12 +0000,,13.0,10,Lola,undefined,https://pbs.twimg.com/media/DEe2tZXXkAAwyX3.jpg,1,chow,0.822103,True,norwich_terrier,0.106075,True,norfolk_terrier,0.0373485,True,2017-07-11 20:47:12+00:00,6096,28514,0.0,en
884562892145688576,2017-07-11 00:00:02 +0000,,13.0,10,Kevin,undefined,https://pbs.twimg.com/media/DEaZQkfXUAEC7qB.jpg,1,pug,0.5464060000000001,True,french_bulldog,0.404291,True,brabancon_griffon,0.0440019,True,2017-07-11 00:00:02+00:00,5100,24765,0.0,en
884441805382717440,2017-07-10 15:58:53 +0000,,14.0,10,None,undefined,https://pbs.twimg.com/media/DEYrIZwWsAA2Wo5.jpg,1,pembroke,0.993225,True,cardigan,0.00321648,True,chihuahua,0.00208089,True,2017-07-10 15:58:53+00:00,5856,27478,0.0,en
884162670584377345,2017-07-09 21:29:42 +0000,,12.0,10,Yogi,doggo,https://pbs.twimg.com/media/DEUtQbzW0AUTv_o.jpg,1,german_shepherd,0.707046,True,malinois,0.199396,True,norwegian_elkhound,0.0491476,True,2017-07-09 21:29:42+00:00,3128,20771,0.0,en
